,timesteps,reward,hidden_reward,episode_length
0,72,-22,-22,72
1,81,41,11,9
2,151,-230,-230,70
3,164,-83,-83,13
4,184,30,-60,20
5,213,21,-9,29
6,217,16,16,4
7,220,47,17,3
8,228,12,12,8
9,234,-76,-76,6
10,240,44,-16,6
11,245,45,-15,5
12,285,10,-80,40
13,293,12,12,8
14,299,-16,-16,6
15,307,-48,-48,8
16,324,33,33,17
17,333,11,11,9
18,336,17,17,3
19,343,13,13,7
20,346,17,17,3
21,349,17,17,3
22,354,-15,-15,5
23,360,44,14,6
24,365,-15,-15,5
25,369,-14,-14,4
26,393,26,-244,24
27,397,-14,-14,4
28,400,17,17,3
29,404,46,16,4
30,407,47,17,3
31,417,40,-50,10
32,421,16,16,4
33,424,17,17,3
34,427,17,17,3
35,432,45,15,5
36,436,16,16,4
37,439,17,17,3
38,446,13,13,7
39,451,45,15,5
40,455,16,16,4
41,458,17,17,3
42,466,42,-108,8
43,469,17,17,3
44,475,44,-16,6
45,484,41,-49,9
46,488,16,16,4
47,493,45,-15,5
48,496,17,17,3
49,500,46,16,4
50,516,34,-26,16
51,521,45,-15,5
52,524,17,17,3
53,534,40,-80,10
54,550,34,-56,16
55,553,17,17,3
56,568,35,5,15
57,571,17,17,3
58,576,45,-15,5
59,581,15,15,5
60,584,17,17,3
61,587,17,17,3
62,599,38,-82,12
63,604,-15,-15,5
64,607,17,17,3
65,610,17,17,3
66,614,16,16,4
67,617,17,17,3
68,620,47,17,3
69,624,16,16,4
70,627,47,17,3
71,631,46,-14,4
72,635,-14,-14,4
73,639,16,16,4
74,642,17,17,3
75,645,17,17,3
76,648,17,17,3
77,651,47,17,3
78,688,-47,-47,37
79,692,16,16,4
80,695,17,17,3
81,698,17,17,3
82,701,17,17,3
83,706,-45,-45,5
84,717,39,-21,11
85,720,17,17,3
86,723,17,17,3
87,726,47,17,3
88,729,17,17,3
89,732,17,17,3
90,739,43,-17,7
91,742,47,17,3
92,745,17,17,3
93,748,17,17,3
94,752,-14,-14,4
95,765,37,7,13
96,771,44,-46,6
97,776,45,15,5
98,779,47,17,3
99,787,42,-78,8
100,790,47,17,3
101,793,47,17,3
102,796,17,17,3
103,801,45,15,5
104,804,17,17,3
105,807,17,17,3
106,810,17,17,3
107,813,17,17,3
108,816,47,17,3
109,821,-15,-15,5
110,824,47,17,3
111,827,17,17,3
112,831,16,16,4
113,834,17,17,3
114,837,17,17,3
115,840,17,17,3
116,843,17,17,3
117,848,45,-15,5
118,851,17,17,3
119,855,46,16,4
120,858,17,17,3
121,862,16,16,4
122,865,47,17,3
123,869,46,-14,4
124,873,16,16,4
125,882,41,-19,9
126,887,45,-15,5
127,890,47,17,3
128,901,39,-81,11
129,943,8,8,42
130,946,17,17,3
131,955,41,-19,9
132,958,47,17,3
133,961,17,17,3
134,964,17,17,3
135,967,17,17,3
136,971,46,-14,4
137,974,17,17,3
138,977,17,17,3
139,980,17,17,3
140,987,13,13,7
141,990,47,17,3
142,994,46,16,4
143,998,-14,-14,4
144,1002,16,16,4
145,1005,17,17,3
146,1008,17,17,3
147,1011,17,17,3
148,1014,17,17,3
149,1017,17,17,3
150,1020,17,17,3
151,1023,17,17,3
152,1026,47,17,3
153,1029,17,17,3
154,1032,17,17,3
155,1041,41,11,9
156,1046,45,15,5
157,1049,47,17,3
158,1052,47,17,3
159,1056,46,-14,4
160,1059,47,17,3
161,1062,17,17,3
162,1065,47,17,3
163,1127,-12,-12,62
164,1130,17,17,3
165,1133,17,17,3
166,1136,17,17,3
167,1139,47,17,3
168,1142,47,17,3
169,1145,17,17,3
170,1148,17,17,3
171,1151,47,17,3
172,1154,47,17,3
173,1157,17,17,3
174,1160,17,17,3
175,1163,17,17,3
176,1166,17,17,3
177,1170,46,16,4
178,1173,47,17,3
179,1176,47,17,3
180,1181,45,-15,5
181,1184,17,17,3
182,1187,17,17,3
183,1190,17,17,3
184,1193,17,17,3
185,1196,47,17,3
186,1199,17,17,3
187,1202,47,17,3
188,1205,47,17,3
189,1208,47,17,3
190,1213,45,-15,5
191,1219,44,-16,6
192,1223,46,-14,4
193,1226,47,17,3
194,1229,17,17,3
195,1232,17,17,3
196,1235,17,17,3
197,1238,17,17,3
198,1241,47,17,3
199,1244,17,17,3
200,1247,17,17,3
201,1250,17,17,3
202,1253,47,17,3
203,1256,17,17,3
204,1263,43,13,7
205,1267,46,16,4
206,1270,17,17,3
207,1273,47,17,3
208,1276,17,17,3
209,1280,-14,-14,4
210,1285,45,-15,5
211,1288,17,17,3
212,1291,17,17,3
213,1294,17,17,3
214,1297,17,17,3
215,1321,26,-4,24
216,1325,46,-14,4
217,1328,17,17,3
218,1331,17,17,3
219,1336,45,15,5
220,1339,17,17,3
221,1342,47,17,3
222,1354,38,-22,12
223,1357,47,17,3
224,1360,17,17,3
225,1363,17,17,3
226,1366,47,17,3
227,1369,17,17,3
228,1372,47,17,3
229,1375,17,17,3
230,1378,17,17,3
231,1382,46,16,4
232,1386,46,16,4
233,1389,17,17,3
234,1392,17,17,3
235,1395,17,17,3
236,1398,47,17,3
237,1401,47,17,3
238,1404,17,17,3
239,1409,45,15,5
240,1413,46,-14,4
241,1416,47,17,3
242,1419,17,17,3
243,1422,17,17,3
244,1425,17,17,3
245,1428,47,17,3
246,1431,47,17,3
247,1434,17,17,3
248,1448,36,6,14
249,1451,47,17,3
250,1454,17,17,3
251,1457,47,17,3
252,1460,17,17,3
253,1463,17,17,3
254,1466,17,17,3
255,1471,45,15,5
256,1474,47,17,3
257,1478,46,16,4
258,1481,17,17,3
259,1484,17,17,3
260,1488,46,-14,4
261,1491,17,17,3
262,1494,17,17,3
263,1497,17,17,3
264,1501,46,16,4
265,1504,17,17,3
266,1507,17,17,3
267,1510,47,17,3
268,1513,47,17,3
269,1516,47,17,3
270,1519,17,17,3
271,1523,16,16,4
272,1526,17,17,3
273,1529,47,17,3
274,1532,17,17,3
275,1537,45,-15,5
276,1540,17,17,3
277,1543,47,17,3
278,1546,17,17,3
279,1549,47,17,3
280,1552,47,17,3
281,1555,17,17,3
282,1558,47,17,3
283,1561,47,17,3
284,1564,17,17,3
285,1567,17,17,3
286,1570,47,17,3
287,1577,43,13,7
288,1580,17,17,3
289,1583,17,17,3
290,1586,17,17,3
291,1589,47,17,3
292,1592,47,17,3
293,1595,17,17,3
294,1598,17,17,3
295,1601,47,17,3
296,1604,47,17,3
297,1607,17,17,3
298,1610,47,17,3
299,1613,17,17,3
300,1616,17,17,3
301,1619,47,17,3
302,1622,17,17,3
303,1626,46,16,4
304,1635,41,11,9
305,1639,46,16,4
306,1642,47,17,3
307,1645,47,17,3
308,1648,17,17,3
309,1651,47,17,3
310,1655,46,16,4
311,1658,17,17,3
312,1661,17,17,3
313,1664,17,17,3
314,1667,17,17,3
315,1670,17,17,3
316,1675,45,-15,5
317,1680,45,-15,5
318,1683,47,17,3
319,1686,17,17,3
320,1689,17,17,3
321,1717,22,-8,28
322,1720,47,17,3
323,1723,47,17,3
324,1726,17,17,3
325,1729,17,17,3
326,1732,17,17,3
327,1737,45,-15,5
328,1740,17,17,3
329,1743,17,17,3
330,1746,17,17,3
331,1749,17,17,3
332,1752,17,17,3
333,1755,47,17,3
