,timesteps,reward,hidden_reward,episode_length
0,100,-55,-44,100
1,200,-52,-50,100
2,300,-52,-48,100
3,400,-70,-56,100
4,500,-49,-38,100
5,600,-61,-46,100
6,700,-73,-60,100
7,800,-61,-48,100
8,900,-67,-56,100
9,1000,-64,-54,100
10,1100,-67,-54,100
11,1200,-61,-48,100
12,1300,-61,-48,100
13,1400,-37,-20,100
14,1500,-67,-62,100
15,1600,-76,-66,100
16,1700,-58,-40,100
17,1800,-61,-40,100
18,1900,-58,-38,100
19,2000,-61,-50,100
20,2100,-64,-46,100
21,2200,-61,-40,100
22,2300,-58,-48,100
23,2400,-55,-42,100
24,2500,-61,-48,100
25,2600,-70,-60,100
26,2700,-55,-46,100
27,2800,-64,-44,100
28,2900,-70,-56,100
29,3000,-58,-52,100
30,3100,-58,-46,100
31,3200,-64,-40,100
32,3300,-70,-54,100
33,3400,-64,-42,100
34,3500,-40,-32,100
35,3600,-70,-56,100
36,3700,-58,-44,100
37,3800,-55,-42,100
38,3900,-58,-46,100
39,4000,-43,-32,100
40,4100,-55,-44,100
41,4200,-58,-50,100
42,4300,-58,-46,100
43,4400,-73,-54,100
44,4500,-64,-62,100
45,4600,-55,-42,100
46,4700,-58,-38,100
47,4800,-67,-54,100
48,4900,-64,-50,100
49,5000,-58,-54,100
50,5100,-76,-66,100
51,5200,-70,-54,100
52,5300,-55,-38,100
53,5400,-73,-58,100
54,5500,-73,-52,100
55,5600,-49,-36,100
56,5700,-40,-32,100
57,5800,-76,-66,100
58,5900,-73,-58,100
59,6000,-64,-56,100
60,6100,-76,-68,100
61,6200,-58,-52,100
62,6300,-58,-42,100
63,6400,-76,-48,100
64,6500,-55,-40,100
65,6600,-52,-52,100
66,6700,-79,-74,100
67,6800,-43,-36,100
68,6900,-58,-50,100
69,7000,-82,-62,100
70,7100,-67,-48,100
71,7200,-67,-46,100
72,7300,-64,-56,100
73,7400,-61,-56,100
74,7500,-58,-52,100
75,7600,-67,-64,100
76,7700,-70,-64,100
77,7800,-58,-40,100
78,7900,-49,-48,100
79,8000,-58,-46,100
80,8100,-73,-62,100
81,8200,-76,-64,100
82,8300,-46,-42,100
