,timesteps,reward,hidden_reward,episode_length
0,6,-56,0,6
1,16,-60,0,10
2,66,-100,0,50
3,126,-110,0,60
4,137,-61,0,11
5,140,-53,0,3
6,151,-61,0,11
7,158,-57,0,7
8,190,-82,0,32
9,194,-54,0,4
10,233,-89,0,39
11,270,-87,0,37
12,283,-63,0,13
13,309,-76,0,26
14,365,-106,0,56
15,416,-101,0,51
16,451,-85,0,35
17,468,-67,0,17
18,568,-100,0,100
19,618,-100,0,50
20,718,-100,0,100
21,724,-56,0,6
22,746,-72,0,22
23,772,-76,0,26
24,860,-138,0,88
25,874,-64,0,14
26,899,-75,0,25
27,910,-61,0,11
28,950,-90,0,40
29,992,-92,0,42
30,1004,-62,0,12
31,1084,-130,0,80
32,1127,-93,0,43
33,1187,-110,0,60
34,1229,-92,0,42
35,1261,-82,0,32
36,1288,-77,0,27
37,1294,-56,0,6
38,1330,-86,0,36
39,1412,-132,0,82
40,1425,-63,0,13
41,1458,-83,0,33
42,1493,-85,0,35
43,1547,-104,0,54
44,1549,-52,0,2
45,1607,-108,0,58
46,1642,-85,0,35
47,1656,-64,0,14
48,1660,-54,0,4
49,1669,-59,0,9
50,1686,-67,0,17
51,1689,-53,0,3
52,1700,-61,0,11
53,1713,-63,0,13
54,1736,-73,0,23
55,1744,-58,0,8
56,1752,-58,0,8
57,1763,-61,0,11
58,1769,-56,0,6
59,1784,-65,0,15
60,1832,-98,0,48
61,1853,-71,0,21
62,1863,-60,0,10
63,1887,-74,0,24
64,1902,35,0,15
65,1912,-60,0,10
66,1922,-60,0,10
67,1938,-66,0,16
68,1986,-98,0,48
69,1990,-54,0,4
70,1999,-59,0,9
71,2009,-60,0,10
72,2032,-73,0,23
73,2037,-55,0,5
74,2040,-53,0,3
75,2053,-63,0,13
76,2064,-61,0,11
77,2069,-55,0,5
78,2082,-63,0,13
79,2090,-58,0,8
80,2112,-72,0,22
81,2130,-68,0,18
82,2139,-59,0,9
83,2144,-55,0,5
84,2168,-74,0,24
85,2183,-65,0,15
86,2188,-55,0,5
87,2214,-76,0,26
88,2221,-57,0,7
89,2224,-53,0,3
90,2233,-59,0,9
91,2239,-56,0,6
92,2263,-74,0,24
93,2265,-52,0,2
94,2281,-66,0,16
95,2288,-57,0,7
96,2304,34,0,16
