,timesteps,reward,hidden_reward,episode_length
0,29,21,11,29
1,54,25,15,25
2,117,-13,-23,63
3,123,44,34,6
4,192,-19,-29,69
5,256,-14,-24,64
6,287,19,9,31
7,333,4,-6,46
8,350,33,23,17
9,355,45,35,5
10,422,-17,-27,67
11,439,33,23,17
12,456,33,23,17
13,472,34,34,16
14,515,7,-3,43
15,545,20,10,30
16,559,36,26,14
17,594,15,5,35
18,604,40,30,10
19,615,39,29,11
20,627,38,28,12
21,686,-9,-19,59
22,706,30,20,20
23,723,33,23,17
24,774,-1,-11,51
25,780,44,34,6
26,795,35,25,15
27,801,44,34,6
28,808,43,33,7
29,847,11,1,39
30,852,45,35,5
31,865,37,27,13
32,887,28,18,22
33,903,34,34,16
34,938,15,5,35
35,950,38,38,12
36,959,41,31,9
37,971,38,28,12
38,994,27,17,23
39,1006,38,28,12
40,1018,38,28,12
41,1043,25,15,25
42,1063,30,20,20
43,1075,38,28,12
44,1089,36,26,14
45,1101,38,28,12
46,1106,45,35,5
47,1116,40,30,10
48,1125,41,31,9
49,1132,43,33,7
50,1144,38,28,12
51,1153,41,31,9
52,1159,44,34,6
53,1171,38,28,12
54,1187,34,24,16
55,1200,37,27,13
56,1208,42,32,8
57,1213,45,35,5
58,1230,33,23,17
59,1240,40,30,10
60,1252,38,28,12
61,1278,24,24,26
62,1293,35,25,15
63,1307,36,26,14
64,1322,35,25,15
65,1330,42,42,8
66,1338,42,32,8
67,1349,39,29,11
68,1362,37,27,13
69,1367,45,35,5
70,1383,34,24,16
71,1388,45,35,5
72,1398,40,30,10
73,1416,32,32,18
74,1426,40,30,10
75,1443,33,23,17
76,1470,23,13,27
77,1481,39,29,11
78,1488,43,33,7
79,1506,32,22,18
80,1514,42,42,8
81,1519,45,35,5
82,1528,41,31,9
83,1533,45,35,5
84,1541,42,32,8
85,1546,45,35,5
86,1553,43,33,7
87,1567,36,26,14
88,1573,44,34,6
89,1581,42,32,8
90,1596,35,25,15
91,1606,40,30,10
92,1623,33,23,17
93,1635,38,28,12
94,1640,45,35,5
95,1665,25,15,25
96,1672,43,33,7
97,1681,41,31,9
98,1686,45,35,5
99,1696,40,30,10
100,1709,37,27,13
101,1722,37,27,13
102,1728,44,34,6
103,1742,36,26,14
104,1759,33,23,17
105,1777,32,22,18
106,1788,39,29,11
107,1794,44,34,6
108,1803,41,31,9
109,1816,37,27,13
