,timesteps,reward,hidden_reward,episode_length
0,24,26,26,24
1,27,47,17,3
2,56,21,-129,29
3,63,-47,-47,7
4,136,-23,-23,73
5,236,-100,-100,100
6,267,-11,-11,31
7,280,-113,-113,13
8,328,-88,-88,48
9,380,-332,-332,52
10,437,-7,-247,57
11,479,8,8,42
12,519,10,-110,40
13,533,6,6,14
14,568,-45,-45,35
15,585,33,-177,17
16,595,-20,-20,10
17,609,-54,-54,14
18,667,-8,-8,58
19,677,-80,-80,10
20,692,-235,-235,15
21,701,-79,-79,9
22,799,-288,-288,98
23,824,25,-5,25
24,827,47,17,3
25,885,-8,-488,58
26,891,14,14,6
27,920,-39,-39,29
28,924,16,16,4
29,930,44,-46,6
30,956,-156,-156,26
31,959,47,17,3
32,968,11,11,9
33,979,-21,-21,11
34,992,37,-83,13
35,1007,5,5,15
36,1016,41,-19,9
37,1036,30,-30,20
38,1043,-17,-17,7
39,1065,-182,-182,22
40,1115,0,0,50
41,1121,14,14,6
42,1129,42,-48,8
43,1177,2,2,48
44,1191,36,-114,14
45,1196,45,15,5
46,1201,45,-15,5
47,1218,-27,-27,17
48,1233,35,-205,15
49,1237,46,16,4
50,1255,-28,-28,18
51,1265,-80,-80,10
52,1273,-18,-18,8
53,1307,-224,-224,34
54,1344,13,13,37
55,1347,17,17,3
56,1359,38,8,12
57,1366,43,13,7
58,1370,16,16,4
59,1383,37,-113,13
60,1400,33,-147,17
61,1404,-14,-14,4
62,1418,36,6,14
63,1426,42,-18,8
64,1429,47,17,3
65,1459,20,-130,30
66,1465,-16,-16,6
67,1476,39,-111,11
68,1480,46,16,4
69,1497,3,3,17
70,1501,46,-14,4
71,1513,8,8,12
72,1533,-60,-60,20
73,1537,16,16,4
74,1547,-80,-80,10
75,1552,15,15,5
76,1555,47,17,3
77,1565,10,10,10
78,1568,17,17,3
79,1642,-24,-24,74
80,1647,45,-15,5
81,1661,36,-54,14
82,1666,45,15,5
83,1680,36,-24,14
84,1711,-71,-71,31
85,1718,13,13,7
86,1749,-131,-131,31
87,1760,39,-21,11
88,1768,12,12,8
89,1773,-15,-15,5
90,1779,44,-16,6
91,1784,15,15,5
92,1794,-80,-80,10
93,1797,17,17,3
94,1818,29,29,21
95,1827,41,-109,9
96,1831,16,16,4
97,1843,8,8,12
98,1848,45,-45,5
99,1885,13,13,37
100,1896,39,-21,11
101,1916,30,30,20
102,1937,29,29,21
103,1960,27,27,23
104,1972,38,-142,12
105,2005,17,-13,33
106,2017,-52,-52,12
107,2035,32,2,18
108,2043,42,-48,8
109,2048,-15,-15,5
110,2052,16,16,4
111,2055,47,17,3
112,2059,-14,-14,4
113,2066,43,13,7
114,2069,47,17,3
115,2076,13,13,7
116,2080,46,16,4
117,2085,15,15,5
118,2093,-78,-78,8
119,2099,14,14,6
120,2102,47,17,3
121,2105,47,17,3
122,2109,-14,-14,4
123,2113,46,16,4
124,2117,16,16,4
125,2124,13,13,7
126,2129,45,15,5
127,2133,16,16,4
128,2137,-14,-14,4
129,2142,-45,-45,5
130,2148,14,14,6
131,2151,47,17,3
132,2154,17,17,3
133,2161,43,-17,7
134,2165,46,-14,4
135,2168,47,17,3
136,2171,47,17,3
137,2174,47,17,3
138,2179,15,15,5
139,2185,44,-76,6
140,2192,-17,-17,7
