,timesteps,reward,hidden_reward,episode_length
0,100,-70,-54,100
1,200,-76,-60,100
2,300,-64,-50,100
3,400,-76,-58,100
4,500,-70,-52,100
5,600,-67,-62,100
6,700,-61,-44,100
7,800,-61,-56,100
8,900,-55,-40,100
9,1000,-61,-50,100
10,1100,-58,-52,100
11,1200,-67,-60,100
12,1300,-67,-58,100
13,1400,-55,-42,100
14,1500,-49,-40,100
15,1600,-73,-62,100
16,1700,-55,-44,100
17,1800,-73,-60,100
18,1900,-61,-48,100
19,2000,-55,-38,100
20,2100,-64,-50,100
21,2200,-70,-52,100
22,2300,-61,-48,100
23,2400,-61,-52,100
24,2500,-76,-48,100
25,2600,-73,-66,100
26,2700,-70,-56,100
27,2800,-58,-50,100
28,2900,-52,-34,100
29,3000,-67,-48,100
30,3100,-73,-66,100
31,3200,-61,-60,100
32,3300,-70,-60,100
33,3400,-61,-54,100
34,3500,-58,-44,100
35,3600,-55,-46,100
36,3700,-55,-46,100
37,3800,-61,-58,100
38,3900,-61,-42,100
39,4000,-61,-44,100
40,4100,-67,-60,100
41,4200,-58,-46,100
42,4300,-70,-40,100
43,4400,-52,-46,100
44,4500,-64,-52,100
45,4600,-52,-46,100
46,4700,-70,-56,100
47,4800,-70,-56,100
48,4900,-64,-54,100
49,5000,-58,-52,100
50,5100,-73,-52,100
51,5200,-64,-48,100
52,5300,-67,-50,100
53,5400,-76,-62,100
54,5500,-61,-46,100
55,5600,-58,-38,100
56,5700,-67,-50,100
57,5800,-67,-40,100
58,5900,-64,-62,100
59,6000,-67,-52,100
60,6100,-70,-64,100
61,6200,-73,-66,100
62,6300,-64,-56,100
63,6400,-49,-46,100
64,6500,-64,-52,100
65,6600,-70,-70,100
66,6700,-49,-36,100
67,6800,-61,-50,100
68,6900,-58,-48,100
69,7000,-73,-64,100
70,7100,-67,-56,100
71,7200,-52,-46,100
72,7300,-70,-54,100
73,7400,-64,-54,100
74,7500,-43,-42,100
75,7600,-61,-44,100
76,7700,-52,-58,100
77,7800,-70,-54,100
78,7900,-49,-36,100
79,8000,-70,-66,100
80,8100,-61,-52,100
81,8200,-43,-46,100
82,8300,-70,-58,100
83,8400,-67,-54,100
84,8500,-46,-44,100
85,8600,-73,-58,100
86,8700,-58,-50,100
87,8800,-58,-50,100
88,8900,-67,-58,100
89,9000,-58,-50,100
90,9100,-70,-60,100
91,9200,-52,-46,100
92,9300,-67,-50,100
93,9400,-43,-32,100
94,9500,-52,-42,100
95,9600,-52,-42,100
96,9700,-55,-46,100
97,9800,-64,-42,100
98,9900,-55,-50,100
99,10000,-64,-46,100
100,10100,-61,-48,100
101,10200,-43,-42,100
102,10300,-70,-58,100
103,10400,-76,-58,100
104,10500,-55,-46,100
105,10600,-61,-44,100
106,10700,-58,-42,100
107,10800,-70,-40,100
108,10900,-64,-58,100
109,11000,-58,-46,100
110,11100,-49,-38,100
111,11200,-64,-56,100
112,11300,-58,-46,100
113,11400,-67,-52,100
114,11500,-40,-38,100
115,11600,-61,-54,100
116,11700,-46,-42,100
117,11800,-76,-58,100
118,11900,-52,-40,100
119,12000,-70,-58,100
120,12100,-55,-46,100
121,12200,-52,-38,100
122,12300,-70,-64,100
123,12400,-64,-48,100
124,12500,-70,-62,100
125,12600,-58,-36,100
126,12700,-73,-60,100
127,12800,-55,-46,100
128,12900,-55,-46,100
129,13000,-67,-64,100
130,13100,-46,-40,100
131,13200,-52,-36,100
132,13300,-64,-56,100
133,13400,-55,-34,100
134,13500,-52,-62,100
135,13600,-61,-50,100
136,13700,-67,-50,100
137,13800,-67,-50,100
138,13900,-64,-60,100
139,14000,-55,-40,100
140,14100,-64,-52,100
141,14200,-55,-40,100
142,14300,-61,-52,100
143,14400,-49,-44,100
144,14500,-49,-48,100
145,14600,-58,-38,100
146,14700,-49,-36,100
147,14800,-55,-60,100
148,14900,-58,-54,100
149,15000,-55,-40,100
150,15100,-58,-52,100
151,15200,-49,-38,100
152,15300,-64,-60,100
153,15400,-58,-48,100
154,15500,-40,-32,100
155,15600,-61,-56,100
156,15700,-67,-54,100
157,15800,-55,-48,100
158,15900,-49,-36,100
159,16000,-55,-44,100
160,16100,-67,-54,100
161,16200,-70,-60,100
162,16300,-58,-48,100
163,16400,-67,-56,100
164,16500,-61,-50,100
165,16600,-73,-60,100
166,16700,-58,-50,100
167,16800,-46,-48,100
168,16900,-58,-40,100
169,17000,-58,-40,100
170,17100,-52,-44,100
171,17200,-67,-52,100
172,17300,-52,-38,100
173,17400,-67,-46,100
174,17500,-64,-58,100
175,17600,-52,-44,100
176,17700,-64,-56,100
177,17800,-64,-52,100
178,17900,-67,-54,100
179,18000,-67,-56,100
180,18100,-61,-50,100
181,18200,-70,-62,100
182,18300,-67,-58,100
183,18400,-73,-50,100
184,18500,-76,-62,100
185,18600,-64,-58,100
186,18700,-70,-54,100
187,18800,-76,-56,100
188,18900,-70,-56,100
189,19000,-58,-44,100
190,19100,-64,-60,100
191,19200,-52,-52,100
192,19300,-76,-60,100
193,19400,-61,-44,100
194,19500,-55,-38,100
195,19600,-49,-44,100
196,19700,-52,-42,100
197,19800,-76,-58,100
198,19900,-73,-62,100
199,20000,-73,-62,100
200,20100,-61,-60,100
201,20200,-64,-54,100
202,20300,-55,-42,100
203,20400,-55,-44,100
204,20500,-52,-38,100
205,20600,-61,-60,100
206,20700,-70,-60,100
207,20800,-67,-60,100
208,20900,-58,-62,100
209,21000,-61,-62,100
210,21100,-76,-58,100
211,21200,-58,-42,100
212,21300,-70,-56,100
213,21400,-55,-46,100
214,21500,-43,-36,100
215,21600,-58,-48,100
216,21700,-52,-38,100
217,21800,-64,-52,100
218,21900,-70,-58,100
219,22000,-55,-40,100
220,22100,-55,-46,100
221,22200,-64,-50,100
222,22300,-52,-38,100
223,22400,-76,-60,100
224,22500,-55,-40,100
225,22600,-61,-52,100
226,22700,-49,-48,100
227,22800,-70,-60,100
228,22900,-61,-48,100
229,23000,-61,-50,100
230,23100,-49,-40,100
231,23200,-52,-38,100
232,23300,-67,-68,100
233,23400,-49,-36,100
234,23500,-67,-60,100
235,23600,-64,-46,100
236,23700,-67,-60,100
237,23800,-46,-36,100
238,23900,-61,-52,100
239,24000,-67,-50,100
240,24100,-67,-50,100
241,24200,-43,-42,100
242,24300,-58,-42,100
243,24400,-67,-60,100
244,24500,-58,-50,100
245,24600,-49,-52,100
246,24700,-55,-56,100
247,24800,-49,-50,100
248,24900,-58,-52,100
249,25000,-46,-36,100
250,25100,-55,-50,100
251,25200,-58,-54,100
252,25300,-70,-64,100
253,25400,-70,-56,100
254,25500,-52,-44,100
255,25600,-70,-58,100
256,25700,-64,-58,100
257,25800,-55,-42,100
258,25900,-58,-46,100
259,26000,-58,-44,100
260,26100,-46,-38,100
261,26200,-67,-60,100
262,26300,-64,-44,100
263,26400,-64,-48,100
264,26500,-55,-50,100
265,26600,-49,-52,100
266,26700,-61,-54,100
267,26800,-49,-50,100
268,26900,-61,-54,100
269,27000,-49,-50,100
270,27100,-58,-44,100
271,27200,-64,-56,100
272,27300,-58,-52,100
273,27400,-49,-38,100
274,27500,-37,-30,100
275,27600,-70,-52,100
276,27700,-58,-54,100
277,27800,-55,-52,100
278,27900,-58,-50,100
279,28000,-52,-48,100
280,28100,-49,-44,100
281,28200,-58,-46,100
282,28300,-61,-50,100
283,28400,-52,-48,100
284,28500,-55,-50,100
285,28600,-64,-48,100
286,28700,-70,-48,100
287,28800,-61,-52,100
288,28900,-61,-44,100
289,29000,-70,-62,100
290,29100,-49,-50,100
291,29200,-67,-54,100
292,29300,-58,-46,100
293,29400,-43,-38,100
294,29500,-64,-52,100
295,29600,-58,-44,100
296,29700,-70,-60,100
297,29800,-46,-34,100
298,29900,-55,-48,100
299,30000,-64,-58,100
300,30100,-70,-56,100
301,30200,-58,-56,100
302,30300,-61,-56,100
303,30400,-58,-56,100
304,30500,-52,-46,100
305,30600,-55,-36,100
306,30700,-37,-34,100
307,30800,-61,-56,100
308,30900,-64,-58,100
309,31000,-43,-46,100
310,31100,-37,-40,100
311,31200,-37,-42,100
312,31300,-46,-48,100
313,31400,-43,-38,100
314,31500,-52,-34,100
315,31600,-61,-56,100
316,31700,-52,-44,100
317,31800,-55,-54,100
318,31900,-61,-48,100
319,32000,-37,-24,100
320,32100,-61,-54,100
321,32200,-46,-40,100
322,32300,-46,-46,100
323,32400,-34,-42,100
324,32500,-49,-40,100
325,32600,-52,-54,100
326,32700,-55,-44,100
327,32800,-64,-52,100
328,32900,-55,-50,100
329,33000,-58,-48,100
330,33100,-49,-38,100
331,33200,-46,-40,100
332,33300,-61,-54,100
333,33400,-52,-38,100
334,33500,-40,-38,100
335,33600,-58,-52,100
336,33700,-46,-40,100
337,33800,-58,-54,100
338,33900,-52,-52,100
339,34000,-40,-32,100
340,34100,-43,-36,100
341,34200,-46,-36,100
342,34300,-40,-26,100
343,34400,-55,-54,100
344,34500,-46,-46,100
345,34600,-46,-46,100
346,34700,-46,-40,100
347,34800,-49,-46,100
348,34900,-46,-34,100
349,35000,-52,-44,100
350,35100,-49,-48,100
351,35200,-64,-46,100
352,35300,-61,-50,100
353,35400,-46,-28,100
354,35500,-31,-30,100
355,35600,-58,-42,100
356,35700,-43,-32,100
357,35800,-37,-28,100
358,35900,-61,-48,100
359,36000,-58,-48,100
360,36100,-67,-50,100
361,36200,-46,-46,100
362,36300,-46,-36,100
363,36400,-46,-34,100
364,36500,-37,-34,100
365,36600,-49,-38,100
366,36700,-49,-42,100
367,36800,-49,-32,100
368,36900,-52,-48,100
369,37000,-58,-44,100
370,37100,-58,-48,100
371,37200,-49,-46,100
372,37300,-49,-42,100
373,37400,-49,-46,100
374,37500,-64,-56,100
375,37600,-52,-46,100
376,37700,-43,-38,100
377,37800,-43,-30,100
378,37900,-49,-46,100
379,38000,-37,-30,100
380,38100,-46,-44,100
381,38200,-49,-38,100
382,38300,-58,-60,100
383,38400,-64,-44,100
384,38500,-49,-42,100
385,38600,-46,-36,100
386,38700,-52,-44,100
387,38800,-37,-36,100
388,38900,-58,-54,100
389,39000,-58,-48,100
390,39100,-46,-36,100
391,39200,-49,-42,100
392,39300,-46,-48,100
393,39400,-31,-34,100
394,39500,-61,-52,100
395,39600,-46,-44,100
396,39700,-58,-48,100
397,39800,-58,-58,100
398,39900,-49,-44,100
399,40000,-43,-42,100
400,40100,-58,-50,100
401,40200,-43,-42,100
402,40300,-43,-38,100
403,40400,-55,-42,100
404,40500,-43,-42,100
405,40600,-40,-22,100
406,40700,-43,-40,100
407,40800,-34,-42,100
408,40900,-46,-36,100
409,41000,-28,-30,100
410,41100,-46,-36,100
411,41200,-25,-12,100
412,41300,-46,-50,100
413,41400,-34,-38,100
414,41500,-43,-36,100
415,41600,-34,-28,100
416,41700,-40,-40,100
417,41800,-49,-44,100
418,41900,-46,-40,100
419,42000,-58,-58,100
420,42100,-43,-38,100
421,42200,-46,-48,100
422,42300,-43,-40,100
423,42400,-43,-38,100
424,42500,-40,-50,100
425,42600,-13,-24,100
426,42700,-46,-34,100
427,42800,-40,-40,100
428,42900,-40,-40,100
429,43000,-31,-34,100
430,43100,-61,-50,100
431,43200,-43,-42,100
432,43300,-31,-34,100
433,43400,-49,-50,100
434,43500,-28,-30,100
435,43600,-34,-36,100
436,43700,-43,-50,100
437,43800,-31,-30,100
438,43900,-25,-32,100
439,44000,-55,-54,100
440,44100,-16,-20,100
441,44200,-34,-38,100
442,44300,-28,-28,100
443,44400,-43,-40,100
444,44500,-25,-34,100
445,44600,-19,-24,100
446,44700,-34,-28,100
