,timesteps,reward,hidden_reward,episode_length
0,49,-99,0,49
1,55,-56,0,6
2,63,-58,0,8
3,67,-54,0,4
4,69,-52,0,2
5,84,-65,0,15
6,86,-52,0,2
7,96,-60,0,10
8,101,-55,0,5
9,144,-93,0,43
10,155,-61,0,11
11,165,-60,0,10
12,174,-59,0,9
13,249,-125,0,75
14,303,-104,0,54
15,320,-67,0,17
16,330,-60,0,10
17,375,-95,0,45
18,407,-82,0,32
19,434,-77,0,27
20,447,-63,0,13
21,478,-81,0,31
22,504,-76,0,26
23,508,-54,0,4
24,531,-73,0,23
25,560,-79,0,29
26,591,-81,0,31
27,593,-52,0,2
28,598,-55,0,5
29,620,-72,0,22
30,644,-74,0,24
31,652,-58,0,8
32,658,-56,0,6
33,668,-60,0,10
34,670,-52,0,2
35,676,-56,0,6
36,702,-76,0,26
37,716,-64,0,14
38,719,-53,0,3
39,723,-54,0,4
40,746,-73,0,23
41,759,-63,0,13
42,769,-60,0,10
43,774,-55,0,5
44,809,-85,0,35
45,850,-91,0,41
46,878,-78,0,28
47,913,-85,0,35
48,925,-62,0,12
49,937,-62,0,12
50,946,-59,0,9
51,962,-66,0,16
52,964,-52,0,2
53,982,-68,0,18
54,988,-56,0,6
55,990,-52,0,2
56,1001,-61,0,11
57,1022,29,0,21
58,1057,-85,0,35
59,1061,-54,0,4
60,1064,-53,0,3
61,1070,-56,0,6
62,1072,-52,0,2
63,1087,-65,0,15
64,1094,-57,0,7
65,1097,-53,0,3
66,1113,-66,0,16
67,1130,-67,0,17
68,1148,-68,0,18
69,1152,-54,0,4
70,1172,-70,0,20
71,1174,-52,0,2
72,1179,-55,0,5
73,1182,-53,0,3
74,1190,-58,0,8
75,1199,-59,0,9
76,1202,-53,0,3
77,1208,-56,0,6
78,1215,-57,0,7
79,1315,-100,0,100
80,1329,-64,0,14
81,1353,-74,0,24
82,1355,-52,0,2
83,1358,-53,0,3
84,1374,34,0,16
85,1383,-59,0,9
86,1395,-62,0,12
87,1407,-62,0,12
88,1411,-54,0,4
89,1413,-52,0,2
90,1417,-54,0,4
91,1433,-66,0,16
92,1435,-52,0,2
93,1460,-75,0,25
94,1467,-57,0,7
95,1567,-100,0,100
96,1570,-53,0,3
97,1578,-58,0,8
98,1668,-140,0,90
99,1670,-52,0,2
100,1674,-54,0,4
101,1690,-66,0,16
102,1704,-64,0,14
103,1718,36,0,14
104,1720,-52,0,2
105,1726,-56,0,6
106,1728,-52,0,2
107,1733,-55,0,5
108,1766,17,0,33
109,1775,-59,0,9
110,1777,-52,0,2
111,1783,-56,0,6
112,1786,-53,0,3
113,1788,-52,0,2
114,1795,-57,0,7
115,1887,-142,0,92
116,1896,-59,0,9
117,1902,-56,0,6
118,1992,-140,0,90
119,2012,-70,0,20
120,2014,-52,0,2
121,2020,-56,0,6
122,2025,-55,0,5
123,2028,-53,0,3
124,2030,-52,0,2
125,2033,-53,0,3
126,2039,-56,0,6
127,2049,-60,0,10
128,2112,-113,0,63
129,2121,-59,0,9
130,2128,-57,0,7
131,2130,-52,0,2
132,2132,-52,0,2
133,2135,-53,0,3
