,timesteps,reward,hidden_reward,episode_length
0,100,-100,-110,100
1,119,31,21,19
2,219,-100,-110,100
3,257,12,2,38
4,291,16,6,34
5,307,34,24,16
6,325,32,22,18
7,395,-20,-30,70
8,401,44,34,6
9,467,-16,-26,66
10,549,-32,-42,82
11,602,-3,-13,53
12,631,21,11,29
13,648,33,23,17
14,671,27,17,23
15,689,32,22,18
16,703,36,26,14
17,710,43,33,7
18,727,33,23,17
19,753,24,14,26
20,761,42,32,8
21,789,22,12,28
22,802,37,27,13
23,819,33,23,17
24,835,34,24,16
25,850,35,25,15
26,863,37,27,13
27,881,32,22,18
28,906,25,15,25
29,935,21,11,29
30,959,26,16,24
31,975,34,24,16
32,982,43,33,7
33,1014,18,8,32
34,1041,23,13,27
35,1053,38,28,12
36,1059,44,34,6
37,1064,45,35,5
38,1073,41,31,9
39,1084,39,29,11
40,1093,41,31,9
41,1120,23,13,27
42,1142,28,18,22
43,1150,42,32,8
44,1178,22,12,28
45,1191,37,27,13
46,1197,44,34,6
47,1208,39,29,11
48,1236,22,12,28
49,1241,45,35,5
50,1266,25,15,25
51,1274,42,32,8
52,1288,36,26,14
53,1305,33,23,17
54,1322,33,33,17
55,1332,40,30,10
56,1343,39,29,11
57,1371,22,12,28
58,1388,33,33,17
59,1397,41,31,9
60,1434,13,3,37
61,1445,39,29,11
62,1462,33,23,17
63,1478,34,24,16
64,1494,34,24,16
65,1518,26,16,24
66,1523,45,35,5
67,1540,33,33,17
68,1551,39,29,11
69,1563,38,28,12
70,1581,32,22,18
71,1589,42,32,8
72,1600,39,29,11
73,1612,38,28,12
74,1621,41,31,9
75,1633,38,28,12
76,1644,39,29,11
77,1651,43,33,7
78,1663,38,28,12
79,1676,37,37,13
80,1685,41,31,9
81,1698,37,27,13
82,1718,30,20,20
83,1724,44,34,6
84,1731,43,33,7
85,1739,42,32,8
86,1745,44,34,6
87,1752,43,33,7
88,1759,43,33,7
89,1767,42,32,8
90,1774,43,33,7
91,1790,34,24,16
92,1798,42,32,8
93,1808,40,30,10
94,1814,44,34,6
95,1827,37,27,13
96,1837,40,30,10
97,1843,44,34,6
98,1851,42,32,8
99,1881,20,20,30
100,1893,38,28,12
101,1908,35,25,15
102,1917,41,31,9
103,1929,38,28,12
104,1938,41,31,9
105,1953,35,25,15
106,1963,40,30,10
107,1971,42,32,8
108,1979,42,32,8
109,1986,43,33,7
110,1992,44,34,6
111,2008,34,24,16
112,2016,42,32,8
113,2026,40,30,10
114,2042,34,24,16
115,2048,44,34,6
116,2054,44,34,6
117,2071,33,23,17
118,2077,44,34,6
119,2082,45,35,5
120,2091,41,41,9
121,2105,36,26,14
122,2115,40,30,10
123,2123,42,32,8
124,2136,37,27,13
125,2145,41,31,9
126,2155,40,30,10
127,2168,37,27,13
128,2178,40,30,10
129,2185,43,43,7
130,2196,39,29,11
131,2212,34,34,16
132,2221,41,31,9
133,2232,39,29,11
134,2244,38,28,12
135,2253,41,31,9
136,2266,37,27,13
137,2272,44,34,6
138,2280,42,32,8
139,2290,40,30,10
140,2302,38,28,12
141,2310,42,32,8
142,2327,33,23,17
143,2333,44,34,6
144,2340,43,33,7
145,2347,43,33,7
146,2357,40,30,10
147,2363,44,34,6
148,2371,42,32,8
149,2382,39,29,11
150,2393,39,39,11
151,2404,39,29,11
152,2414,40,30,10
153,2423,41,31,9
154,2433,40,30,10
155,2441,42,32,8
156,2447,44,34,6
157,2463,34,24,16
158,2471,42,32,8
159,2477,44,34,6
160,2486,41,31,9
161,2498,38,28,12
162,2507,41,31,9
163,2513,44,34,6
164,2518,45,35,5
165,2530,38,28,12
166,2542,38,28,12
167,2555,37,27,13
168,2563,42,32,8
169,2576,37,27,13
170,2586,40,30,10
171,2596,40,30,10
172,2610,36,26,14
173,2615,45,35,5
174,2621,44,34,6
175,2627,44,34,6
176,2636,41,31,9
177,2645,41,31,9
178,2654,41,31,9
179,2666,38,28,12
180,2678,38,28,12
181,2691,37,27,13
182,2699,42,32,8
183,2709,40,30,10
184,2717,42,32,8
185,2727,40,30,10
186,2736,41,31,9
187,2744,42,32,8
188,2760,34,24,16
189,2770,40,40,10
190,2778,42,32,8
191,2789,39,29,11
192,2798,41,31,9
193,2810,38,28,12
194,2820,40,30,10
195,2830,40,30,10
196,2842,38,28,12
197,2860,32,22,18
198,2872,38,28,12
199,2882,40,30,10
200,2892,40,30,10
201,2900,42,32,8
202,2916,34,24,16
203,2921,45,35,5
204,2930,41,31,9
205,2943,37,27,13
206,2953,40,30,10
207,2961,42,32,8
208,2974,37,27,13
209,2986,38,28,12
210,3000,36,26,14
211,3006,44,34,6
212,3016,40,30,10
213,3026,40,30,10
214,3032,44,34,6
215,3038,44,34,6
216,3052,36,26,14
217,3057,45,35,5
218,3065,42,32,8
219,3076,39,29,11
220,3082,44,34,6
221,3099,33,23,17
222,3108,41,31,9
223,3113,45,35,5
224,3120,43,33,7
225,3129,41,31,9
226,3135,44,34,6
227,3147,38,28,12
228,3157,40,30,10
229,3174,33,23,17
230,3183,41,31,9
231,3188,45,35,5
232,3194,44,34,6
233,3208,36,26,14
234,3214,44,34,6
235,3222,42,32,8
236,3231,41,31,9
237,3238,43,33,7
238,3243,45,35,5
239,3252,41,31,9
240,3261,41,31,9
241,3268,43,33,7
242,3273,45,35,5
243,3283,40,30,10
244,3289,44,34,6
245,3296,43,33,7
246,3305,41,31,9
247,3315,40,30,10
248,3322,43,33,7
249,3334,38,28,12
250,3342,42,32,8
251,3349,43,33,7
252,3357,42,32,8
253,3369,38,28,12
254,3376,43,33,7
255,3383,43,33,7
256,3393,40,30,10
257,3398,45,35,5
258,3406,42,32,8
259,3418,38,28,12
260,3424,44,34,6
261,3431,43,33,7
262,3436,45,35,5
263,3442,44,34,6
264,3451,41,31,9
