,timesteps,reward,hidden_reward,episode_length
0,100,8.24,8.239999999999991,100
1,200,8.68,8.679999999999993,100
2,300,6.42,6.419999999999991,100
3,400,6.5,6.499999999999996,100
4,500,8.46,8.45999999999999,100
5,600,8.44,8.439999999999994,100
6,700,4.76,4.7599999999999945,100
7,800,6.42,6.419999999999998,100
8,900,6.42,6.419999999999989,100
9,1000,5.76,5.759999999999997,100
10,1100,7.32,7.319999999999994,100
11,1200,7.3,7.299999999999996,100
12,1300,8.02,8.019999999999994,100
13,1400,7.36,7.359999999999993,100
14,1500,5.42,5.419999999999993,100
15,1600,6.06,6.059999999999988,100
16,1700,8.02,8.01999999999999,100
17,1800,6.54,6.539999999999992,100
18,1900,7.78,7.77999999999999,100
19,2000,8.44,8.439999999999984,100
20,2100,4.78,4.7799999999999985,100
21,2200,5.92,5.919999999999994,100
22,2300,6.44,6.439999999999995,100
23,2400,8.0,7.999999999999991,100
24,2500,7.02,7.019999999999988,100
25,2600,7.14,7.139999999999992,100
26,2700,5.1,5.099999999999998,100
27,2800,6.22,6.21999999999999,100
28,2900,8.46,8.459999999999994,100
29,3000,4.28,4.2799999999999985,100
30,3100,7.76,7.759999999999995,100
31,3200,6.88,6.8799999999999955,100
32,3300,7.0,6.999999999999995,100
33,3400,5.98,5.979999999999992,100
34,3500,5.48,5.479999999999998,100
35,3600,8.16,8.159999999999998,100
36,3700,6.72,6.71999999999999,100
37,3800,6.7,6.7,100
38,3900,5.64,5.639999999999996,100
39,4000,6.4,6.399999999999994,100
40,4100,7.22,7.219999999999997,100
41,4200,7.22,7.219999999999987,100
42,4300,3.9,3.900000000000002,100
43,4400,5.98,5.979999999999993,100
44,4500,5.84,5.839999999999996,100
45,4600,7.64,7.639999999999994,100
46,4700,4.88,4.88,100
47,4800,6.98,6.979999999999984,100
48,4900,4.34,4.339999999999998,100
49,5000,7.12,7.119999999999991,100
50,5100,6.62,6.619999999999989,100
51,5200,8.44,8.43999999999999,100
52,5300,4.96,4.959999999999996,100
53,5400,9.74,9.739999999999993,100
54,5500,7.44,7.43999999999999,100
55,5600,7.4,7.399999999999985,100
56,5700,5.24,5.239999999999995,100
57,5800,5.44,5.439999999999998,100
58,5900,5.22,5.219999999999993,100
59,6000,5.2,5.199999999999995,100
60,6100,6.98,6.979999999999994,100
61,6200,7.4,7.399999999999989,100
62,6300,6.04,6.039999999999995,100
63,6400,4.58,4.579999999999995,100
64,6500,9.08,9.079999999999993,100
65,6600,5.52,5.519999999999997,100
66,6700,7.46,7.459999999999991,100
67,6800,6.7,6.699999999999992,100
68,6900,5.72,5.719999999999994,100
69,7000,7.5,7.499999999999996,100
70,7100,6.2,6.199999999999992,100
71,7200,7.14,7.139999999999987,100
72,7300,7.22,7.219999999999987,100
73,7400,4.84,4.839999999999995,100
74,7500,5.34,5.339999999999997,100
75,7600,5.48,5.4799999999999915,100
76,7700,6.7,6.699999999999989,100
77,7800,6.14,6.139999999999992,100
78,7900,5.16,5.16,100
79,8000,5.8,5.799999999999994,100
80,8100,6.16,6.159999999999996,100
81,8200,4.14,4.140000000000002,100
82,8300,4.92,4.919999999999988,100
83,8400,7.42,7.4199999999999875,100
84,8500,5.14,5.140000000000001,100
85,8600,4.92,4.919999999999998,100
86,8700,6.02,6.019999999999994,100
87,8800,4.74,4.740000000000002,100
88,8900,5.74,5.739999999999992,100
89,9000,6.38,6.379999999999994,100
90,9100,5.62,5.619999999999994,100
91,9200,5.6,5.599999999999997,100
92,9300,5.7,5.699999999999996,100
93,9400,7.56,7.559999999999992,100
94,9500,4.32,4.320000000000001,100
95,9600,5.66,5.659999999999992,100
96,9700,4.74,4.740000000000002,100
97,9800,7.0,6.999999999999985,100
98,9900,5.28,5.279999999999999,100
99,10000,6.44,6.439999999999992,100
100,10100,5.12,5.12,100
101,10200,4.3,4.299999999999999,100
102,10300,4.84,4.839999999999996,100
103,10400,5.46,5.4599999999999875,100
104,10500,7.12,7.119999999999989,100
105,10600,6.5,6.499999999999999,100
106,10700,4.84,4.840000000000001,100
107,10800,4.76,4.760000000000001,100
108,10900,5.74,5.739999999999988,100
109,11000,6.08,6.079999999999995,100
110,11100,5.52,5.5199999999999925,100
111,11200,6.08,6.079999999999992,100
112,11300,7.44,7.439999999999995,100
113,11400,4.92,4.919999999999996,100
114,11500,4.0,4.000000000000002,100
115,11600,4.42,4.419999999999998,100
116,11700,6.88,6.879999999999996,100
117,11800,7.34,7.339999999999992,100
118,11900,3.54,3.5400000000000023,100
119,12000,7.68,7.679999999999986,100
120,12100,4.86,4.859999999999999,100
121,12200,4.12,4.12,100
122,12300,6.02,6.019999999999995,100
123,12400,6.28,6.279999999999991,100
124,12500,6.32,6.319999999999995,100
125,12600,6.6,6.5999999999999845,100
126,12700,5.56,5.559999999999984,100
127,12800,6.02,6.019999999999987,100
128,12900,6.86,6.859999999999986,100
129,13000,5.76,5.759999999999986,100
130,13100,5.24,5.239999999999995,100
131,13200,4.12,4.119999999999999,100
132,13300,4.38,4.379999999999994,100
133,13400,4.26,4.259999999999998,100
134,13500,5.58,5.580000000000002,100
135,13600,6.52,6.519999999999999,100
136,13700,6.02,6.019999999999992,100
137,13800,6.48,6.4799999999999915,100
138,13900,4.88,4.879999999999998,100
139,14000,2.92,2.9200000000000017,100
140,14100,4.42,4.420000000000003,100
141,14200,6.42,6.419999999999995,100
142,14300,4.02,4.020000000000002,100
143,14400,4.8,4.8,100
144,14500,6.3,6.299999999999994,100
145,14600,3.46,3.460000000000002,100
146,14700,4.02,4.020000000000002,100
147,14800,4.82,4.8199999999999985,100
148,14900,4.06,4.060000000000002,100
149,15000,4.12,4.12,100
150,15100,5.44,5.440000000000003,100
151,15200,6.18,6.18,100
152,15300,4.06,4.060000000000002,100
153,15400,4.3,4.299999999999995,100
154,15500,5.38,5.379999999999994,100
155,15600,4.1,4.1000000000000005,100
156,15700,5.5,5.499999999999993,100
157,15800,6.2,6.199999999999997,100
158,15900,4.66,4.660000000000003,100
159,16000,4.16,4.16,100
160,16100,5.52,5.519999999999996,100
161,16200,5.94,5.939999999999991,100
162,16300,4.38,4.380000000000003,100
163,16400,3.66,3.6600000000000024,100
164,16500,3.92,3.9200000000000026,100
165,16600,3.3,3.3000000000000016,100
166,16700,3.16,3.1600000000000015,100
167,16800,4.22,4.219999999999998,100
168,16900,7.24,7.23999999999999,100
169,17000,5.36,5.359999999999993,100
170,17100,2.58,2.5800000000000014,100
171,17200,5.26,5.259999999999986,100
172,17300,5.98,5.9799999999999915,100
173,17400,4.56,4.559999999999999,100
174,17500,4.02,4.020000000000002,100
175,17600,6.74,6.739999999999986,100
176,17700,5.38,5.379999999999994,100
177,17800,3.8,3.8000000000000025,100
178,17900,5.42,5.419999999999988,100
179,18000,4.5,4.4999999999999964,100
180,18100,6.18,6.179999999999996,100
181,18200,3.24,3.240000000000002,100
182,18300,5.04,5.0399999999999965,100
183,18400,7.24,7.2399999999999975,100
184,18500,4.66,4.659999999999993,100
185,18600,3.76,3.7600000000000025,100
186,18700,4.92,4.919999999999994,100
187,18800,3.14,3.140000000000002,100
188,18900,5.12,5.120000000000001,100
189,19000,3.46,3.4600000000000017,100
190,19100,5.44,5.439999999999999,100
191,19200,4.42,4.419999999999994,100
192,19300,6.14,6.139999999999991,100
193,19400,3.56,3.5600000000000023,100
194,19500,3.74,3.7400000000000024,100
195,19600,5.16,5.160000000000001,100
196,19700,5.1,5.099999999999997,100
197,19800,4.76,4.7599999999999865,100
198,19900,4.58,4.580000000000001,100
199,20000,4.32,4.320000000000003,100
200,20100,3.32,3.3200000000000016,100
201,20200,4.2,4.199999999999998,100
202,20300,4.84,4.839999999999987,100
203,20400,5.38,5.379999999999994,100
204,20500,5.48,5.4799999999999915,100
205,20600,3.78,3.7800000000000025,100
206,20700,4.84,4.8399999999999945,100
207,20800,4.56,4.5599999999999925,100
208,20900,5.98,5.979999999999993,100
209,21000,4.7,4.699999999999988,100
210,21100,6.88,6.88,100
211,21200,4.46,4.459999999999993,100
212,21300,3.92,3.9200000000000026,100
213,21400,4.3,4.3,100
214,21500,5.34,5.339999999999996,100
