,timesteps,reward,hidden_reward,episode_length
0,20,30,-30,20
1,120,-100,-100,100
2,133,37,-53,13
3,147,-24,-24,14
4,237,-40,-130,90
5,245,42,-48,8
6,252,43,-47,7
7,258,44,14,6
8,271,37,-23,13
9,304,-13,-13,33
10,333,-159,-159,29
11,346,-143,-143,13
12,446,-100,-100,100
13,449,47,17,3
14,455,14,14,6
15,521,-16,-16,66
16,526,45,-15,5
17,626,-100,-130,100
18,726,-100,-100,100
19,732,14,14,6
20,772,10,-200,40
21,787,35,-55,15
22,887,-100,-160,100
23,891,16,16,4
24,945,-184,-184,54
25,953,-78,-78,8
26,973,-60,-60,20
27,1072,-49,-79,99
28,1164,-222,-222,92
29,1215,-1,-91,51
30,1224,11,11,9
31,1229,45,-45,5
32,1236,13,13,7
33,1280,6,6,44
34,1297,33,3,17
35,1300,17,17,3
36,1303,47,17,3
37,1332,21,21,29
38,1343,39,-111,11
39,1348,45,-45,5
40,1405,-7,-127,57
41,1412,43,-17,7
42,1431,31,-29,19
43,1454,27,-153,23
44,1465,39,9,11
45,1489,-34,-34,24
46,1492,47,17,3
47,1503,-111,-111,11
48,1526,27,-63,23
49,1620,-44,-44,94
50,1633,7,7,13
51,1641,42,-18,8
52,1693,-2,-2,52
53,1731,-78,-78,38
54,1738,-17,-17,7
55,1796,-8,-98,58
56,1806,10,10,10
57,1863,-7,-217,57
58,1872,41,-19,9
59,1878,44,-16,6
60,1945,-167,-167,67
61,2029,-64,-64,84
62,2033,-14,-14,4
63,2040,-47,-47,7
64,2065,-5,-5,25
65,2075,-80,-80,10
66,2085,10,10,10
67,2143,-8,-8,58
68,2182,-169,-169,39
69,2203,29,-121,21
70,2206,17,17,3
71,2212,14,14,6
72,2220,42,-18,8
73,2257,13,-77,37
74,2266,-79,-79,9
75,2271,45,15,5
76,2309,12,-138,38
77,2321,38,-22,12
78,2366,5,5,45
79,2396,-100,-100,30
80,2404,12,12,8
81,2407,17,17,3
82,2421,6,6,14
83,2431,10,10,10
84,2435,46,16,4
85,2463,-8,-8,28
86,2473,40,10,10
87,2477,16,16,4
88,2482,45,15,5
89,2520,12,12,38
90,2524,16,16,4
91,2593,-19,-409,69
92,2605,8,8,12
93,2649,6,-24,44
94,2691,8,8,42
95,2695,16,16,4
96,2700,15,15,5
97,2706,44,14,6
98,2717,-111,-111,11
99,2725,-48,-48,8
100,2758,17,17,33
101,2764,-76,-76,6
102,2817,-3,-3,53
103,2825,42,12,8
104,2829,16,16,4
105,2866,13,-77,37
106,2916,0,0,50
107,2922,14,14,6
108,2929,13,13,7
109,2934,15,15,5
110,2941,43,13,7
111,2945,16,16,4
112,2952,-47,-47,7
113,2960,-18,-18,8
114,2970,40,10,10
115,3012,8,-22,42
116,3043,-41,-41,31
117,3058,-55,-55,15
118,3158,-100,-100,100
119,3165,-47,-47,7
120,3170,45,-15,5
121,3174,46,-14,4
122,3196,-32,-32,22
123,3204,12,12,8
124,3214,40,-50,10
125,3233,-29,-29,19
126,3249,34,-116,16
127,3345,-76,-76,96
128,3358,-23,-23,13
129,3378,-90,-90,20
130,3402,-34,-34,24
131,3419,33,3,17
132,3426,13,13,7
133,3443,-87,-87,17
134,3454,39,9,11
135,3460,44,-46,6
136,3465,-15,-15,5
137,3486,29,-61,21
138,3490,46,16,4
139,3502,38,-112,12
140,3536,16,-194,34
141,3542,14,14,6
142,3557,5,5,15
143,3567,10,10,10
144,3589,28,-122,22
145,3603,36,-144,14
146,3606,17,17,3
147,3632,24,-216,26
148,3638,-46,-46,6
