,timesteps,reward,hidden_reward,episode_length
0,100,-67,-60,100
1,200,-70,-52,100
2,300,-55,-48,100
3,400,-61,-46,100
4,500,-46,-30,100
5,600,-64,-56,100
6,700,-64,-46,100
7,800,-70,-66,100
8,900,-73,-58,100
9,1000,-58,-40,100
10,1100,-64,-60,100
11,1200,-55,-46,100
12,1300,-58,-54,100
13,1400,-82,-64,100
14,1500,-70,-58,100
15,1600,-64,-40,100
16,1700,-61,-54,100
17,1800,-58,-44,100
18,1900,-76,-64,100
19,2000,-73,-54,100
20,2100,-82,-64,100
21,2200,-64,-50,100
22,2300,-70,-58,100
23,2400,-58,-28,100
24,2500,-70,-66,100
25,2600,-70,-64,100
26,2700,-64,-54,100
27,2800,-73,-60,100
28,2900,-67,-54,100
29,3000,-76,-54,100
30,3100,-67,-50,100
31,3200,-67,-56,100
32,3300,-61,-52,100
33,3400,-64,-48,100
34,3500,-70,-52,100
35,3600,-70,-54,100
36,3700,-58,-50,100
37,3800,-52,-38,100
38,3900,-67,-54,100
39,4000,-70,-60,100
40,4100,-70,-60,100
41,4200,-64,-44,100
42,4300,-73,-60,100
43,4400,-46,-28,100
44,4500,-73,-60,100
45,4600,-67,-56,100
46,4700,-58,-48,100
47,4800,-61,-46,100
48,4900,-58,-44,100
49,5000,-58,-54,100
50,5100,-64,-42,100
51,5200,-61,-52,100
52,5300,-67,-48,100
53,5400,-52,-50,100
54,5500,-76,-64,100
55,5600,-73,-66,100
56,5700,-67,-54,100
57,5800,-82,-64,100
58,5900,-64,-54,100
59,6000,-70,-60,100
60,6100,-64,-54,100
61,6200,-58,-36,100
62,6300,-49,-44,100
63,6400,-67,-60,100
64,6500,-58,-52,100
65,6600,-64,-52,100
66,6700,-64,-44,100
67,6800,-67,-64,100
68,6900,-64,-54,100
69,7000,-55,-36,100
70,7100,-73,-64,100
71,7200,-58,-48,100
72,7300,-73,-60,100
73,7400,-58,-42,100
74,7500,-82,-72,100
75,7600,-58,-52,100
76,7700,-85,-70,100
77,7800,-76,-56,100
78,7900,-58,-46,100
