,timesteps,reward,hidden_reward,episode_length
0,2,-52,0,2
1,6,-54,0,4
2,10,-54,0,4
3,47,-87,0,37
4,82,-85,0,35
5,108,-76,0,26
6,110,-52,0,2
7,114,-54,0,4
8,161,-97,0,47
9,175,-64,0,14
10,179,-54,0,4
11,214,-85,0,35
12,277,-113,0,63
13,294,-67,0,17
14,309,-65,0,15
15,345,-86,0,36
16,366,-71,0,21
17,387,-71,0,21
18,391,-54,0,4
19,413,-72,0,22
20,422,-59,0,9
21,424,-52,0,2
22,432,-58,0,8
23,465,-83,0,33
24,469,-54,0,4
25,478,-59,0,9
26,486,-58,0,8
27,496,-60,0,10
28,505,-59,0,9
29,525,-70,0,20
30,565,-90,0,40
31,568,-53,0,3
32,570,-52,0,2
33,582,-62,0,12
34,587,-55,0,5
35,593,-56,0,6
36,683,-140,0,90
37,724,-91,0,41
38,734,-60,0,10
39,737,-53,0,3
40,745,-58,0,8
41,753,-58,0,8
42,772,-69,0,19
43,808,-86,0,36
44,827,-69,0,19
45,852,-75,0,25
46,855,-53,0,3
47,880,-75,0,25
48,883,-53,0,3
49,893,-60,0,10
50,905,-62,0,12
51,913,-58,0,8
52,918,-55,0,5
53,928,-60,0,10
54,931,-53,0,3
55,954,-73,0,23
56,956,-52,0,2
57,964,-58,0,8
58,980,-66,0,16
59,1028,2,0,48
60,1037,-59,0,9
61,1065,-78,0,28
62,1090,-75,0,25
63,1095,-55,0,5
64,1097,-52,0,2
65,1114,-67,0,17
66,1123,-59,0,9
67,1127,-54,0,4
68,1152,-75,0,25
69,1201,-99,0,49
70,1252,-101,0,51
71,1256,-54,0,4
72,1284,-78,0,28
73,1293,-59,0,9
74,1300,-57,0,7
75,1308,-58,0,8
76,1312,-54,0,4
77,1321,-59,0,9
78,1346,-75,0,25
79,1355,-59,0,9
80,1358,-53,0,3
81,1391,-83,0,33
82,1393,-52,0,2
83,1400,-57,0,7
84,1415,-65,0,15
85,1418,-53,0,3
86,1448,-80,0,30
87,1471,-73,0,23
88,1476,-55,0,5
89,1481,-55,0,5
90,1492,-61,0,11
91,1496,-54,0,4
92,1520,26,0,24
93,1524,-54,0,4
94,1547,-73,0,23
95,1563,-66,0,16
96,1565,-52,0,2
97,1569,-54,0,4
98,1571,-52,0,2
99,1574,-53,0,3
100,1584,-60,0,10
101,1591,-57,0,7
102,1601,-60,0,10
103,1616,-65,0,15
104,1639,-73,0,23
