,timesteps,reward,hidden_reward,episode_length
0,52,-2,-12,52
1,98,4,-6,46
2,118,30,20,20
3,204,-36,-46,86
4,281,-27,-37,77
5,381,-100,-110,100
6,468,-37,-47,87
7,505,13,3,37
8,514,41,31,9
9,614,-100,-110,100
10,675,-11,-21,61
11,761,-36,-46,86
12,770,41,31,9
13,858,-38,-48,88
14,894,14,4,36
15,939,5,-5,45
16,949,40,30,10
17,967,32,32,18
18,1004,13,3,37
19,1018,36,26,14
20,1073,-5,-15,55
21,1170,-47,-57,97
22,1190,30,20,20
23,1207,33,23,17
24,1219,38,28,12
25,1229,40,30,10
26,1245,34,24,16
27,1265,30,20,20
28,1279,36,26,14
29,1297,32,22,18
30,1345,2,-8,48
31,1358,37,27,13
32,1372,36,26,14
33,1384,38,28,12
34,1432,2,-8,48
35,1458,24,14,26
36,1465,43,33,7
37,1509,6,-4,44
38,1519,40,30,10
39,1545,24,14,26
40,1559,36,26,14
41,1596,13,13,37
42,1649,-3,-13,53
43,1675,24,14,26
44,1711,14,4,36
45,1733,28,18,22
46,1754,29,19,21
47,1765,39,29,11
48,1794,21,11,29
49,1889,-45,-55,95
50,1910,29,19,21
51,1924,36,26,14
52,1947,27,17,23
53,1968,29,19,21
54,1975,43,33,7
55,1993,32,22,18
56,2007,36,26,14
57,2018,39,29,11
58,2043,25,25,25
59,2086,7,-3,43
60,2112,24,14,26
61,2174,-12,-22,62
62,2196,28,18,22
63,2208,38,28,12
64,2277,-19,-29,69
65,2312,15,5,35
66,2346,16,6,34
67,2377,19,9,31
68,2404,23,13,27
69,2461,-7,-17,57
70,2492,19,9,31
71,2504,38,28,12
72,2530,24,24,26
73,2559,21,11,29
74,2572,37,27,13
75,2588,34,24,16
76,2601,37,37,13
77,2621,30,20,20
78,2671,0,-10,50
79,2701,20,10,30
80,2741,10,0,40
81,2779,12,2,38
82,2809,20,10,30
83,2817,42,32,8
84,2845,22,12,28
85,2872,23,13,27
86,2903,19,9,31
87,2937,16,6,34
88,2956,31,21,19
89,2962,44,34,6
90,2981,31,21,19
91,3026,5,-5,45
92,3036,40,30,10
93,3041,45,35,5
94,3050,41,31,9
95,3118,-18,-28,68
96,3148,20,10,30
97,3168,30,20,20
98,3193,25,15,25
99,3199,44,34,6
100,3209,40,30,10
101,3230,29,19,21
102,3279,1,-9,49
103,3327,2,-8,48
104,3346,31,21,19
105,3354,42,32,8
106,3367,37,27,13
107,3392,25,15,25
108,3414,28,18,22
109,3442,22,12,28
110,3458,34,24,16
111,3511,-3,-13,53
112,3530,31,31,19
113,3567,13,3,37
114,3614,3,-7,47
115,3627,37,27,13
116,3645,32,22,18
117,3661,34,24,16
118,3685,26,16,24
119,3721,14,4,36
120,3749,22,22,28
121,3773,26,16,24
122,3792,31,21,19
123,3812,30,20,20
124,3857,5,-5,45
125,3868,39,29,11
126,3896,22,12,28
127,3912,34,24,16
128,3966,-4,-14,54
129,3989,27,17,23
130,4007,32,22,18
131,4020,37,37,13
132,4061,9,-1,41
133,4079,32,22,18
134,4087,42,32,8
135,4107,30,20,20
136,4122,35,25,15
137,4136,36,26,14
138,4145,41,31,9
139,4166,29,19,21
140,4187,29,19,21
141,4218,19,9,31
142,4236,32,22,18
143,4254,32,22,18
144,4270,34,24,16
145,4275,45,35,5
146,4298,27,17,23
147,4308,40,30,10
148,4321,37,27,13
149,4328,43,33,7
150,4343,35,35,15
151,4371,22,12,28
152,4395,26,16,24
153,4419,26,16,24
154,4445,24,14,26
155,4471,24,14,26
156,4500,21,11,29
157,4511,39,29,11
158,4531,30,30,20
159,4539,42,32,8
160,4557,32,22,18
161,4578,29,19,21
162,4599,29,19,21
163,4618,31,21,19
164,4656,12,2,38
165,4662,44,34,6
166,4667,45,35,5
167,4674,43,33,7
168,4685,39,29,11
169,4702,33,23,17
170,4710,42,32,8
171,4718,42,32,8
172,4726,42,32,8
173,4734,42,32,8
174,4744,40,30,10
175,4753,41,31,9
176,4773,30,20,20
177,4781,42,32,8
178,4788,43,33,7
179,4811,27,17,23
180,4830,31,21,19
181,4841,39,29,11
182,4883,8,-2,42
183,4915,18,8,32
184,4929,36,26,14
185,4942,37,37,13
186,4968,24,14,26
187,4984,34,24,16
188,4991,43,33,7
189,5009,32,22,18
190,5016,43,33,7
191,5029,37,27,13
192,5040,39,29,11
193,5055,35,25,15
194,5079,26,16,24
195,5090,39,29,11
196,5103,37,27,13
197,5115,38,28,12
198,5128,37,27,13
199,5138,40,30,10
200,5169,19,9,31
201,5175,44,34,6
202,5184,41,31,9
203,5194,40,30,10
204,5202,42,32,8
205,5214,38,28,12
206,5223,41,31,9
207,5238,35,25,15
208,5266,22,12,28
209,5273,43,33,7
210,5297,26,16,24
211,5305,42,32,8
212,5314,41,31,9
213,5325,39,29,11
214,5337,38,28,12
215,5349,38,28,12
216,5391,8,-2,42
217,5397,44,34,6
218,5430,17,7,33
219,5457,23,13,27
220,5477,30,20,20
221,5484,43,33,7
222,5503,31,21,19
223,5513,40,30,10
224,5523,40,40,10
225,5549,24,14,26
226,5560,39,29,11
227,5566,44,34,6
228,5585,31,21,19
229,5613,22,12,28
230,5618,45,35,5
231,5627,41,31,9
232,5634,43,33,7
233,5641,43,33,7
234,5647,44,34,6
235,5652,45,35,5
236,5663,39,29,11
237,5677,36,26,14
238,5692,35,25,15
239,5707,35,25,15
240,5719,38,28,12
241,5725,44,34,6
242,5738,37,27,13
243,5756,32,22,18
244,5776,30,20,20
245,5782,44,34,6
246,5801,31,21,19
247,5812,39,29,11
248,5820,42,32,8
249,5827,43,33,7
